base_year,adm_dr_cd,adm_dr_nm,sigungu_nm,sido_nm,sido_nm_1,sigungu__1,sido_nm_12,sigungu__3,Included,Predicted,StdError
2018,3201011,신북읍,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00439320575,0.00576220731
2018,3201031,동면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00484451641,0.00281935151
2018,3201032,동산면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00398492408,0.00577720966
2018,3201033,신동면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00482213557,0.00572161472
2018,3201034,동내면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00461052355,0.00573847664
2018,3201035,남면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00264673861,0.00588185426
2018,3201036,남산면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00438798059,0.00315769364
2018,3201037,서면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00466785925,0.00310238118
2018,3201038,사북면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00358584205,0.00347879603
2018,3201039,북산면,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00377008789,0.00291868983
2018,3201052,교동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00509110025,0.00568697831
2018,3201053,조운동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00519051349,0.0056671852
2018,3201054,약사명동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00534677126,0.0056342686
2018,3201057,근화동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00505869793,0.00569646148
2018,3201058,소양동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00516549144,0.00567272892
2018,3201060,후평1동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00499940237,0.00570389327
2018,3201061,후평2동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.0050157637,0.00569939699
2018,3201062,후평3동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00498904771,0.00570266271
2018,3201063,효자1동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.0052662715,0.00565118253
2018,3201064,효자2동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00507380442,0.00568881127
2018,3201065,효자3동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00507168306,0.00568984118
2018,3201066,석사동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.0049098596,0.00571490189
2018,3201067,퇴계동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00500354115,0.00570366744
2018,3201068,강남동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00499019906,0.0057099916
2018,3201071,신사우동,32010,32,강원도,춘천시,강원,춘천시,Yes,0.00505712827,0.00568482076
2018,3202011,문막읍,32020,32,강원도,원주시,강원,원주시,Yes,0.00429014221,0.00299808559
2018,3202031,소초면,32020,32,강원도,원주시,강원,원주시,Yes,0.00305751915,0.00362932354
2018,3202032,호저면,32020,32,강원도,원주시,강원,원주시,Yes,0.00285266721,0.00579931757
2018,3202033,지정면,32020,32,강원도,원주시,강원,원주시,Yes,0.00274101724,0.00582706355
2018,3202034,부론면,32020,32,강원도,원주시,강원,원주시,Yes,0.0036987187,0.00579219618
2018,3202035,귀래면,32020,32,강원도,원주시,강원,원주시,Yes,0.00389783155,0.00577976728
2018,3202036,흥업면,32020,32,강원도,원주시,강원,원주시,Yes,0.00436683621,0.00565418557
2018,3202037,판부면,32020,32,강원도,원주시,강원,원주시,Yes,0.00392110122,0.00573246573
2018,3202038,신림면,32020,32,강원도,원주시,강원,원주시,Yes,0.00324131533,0.00289610068
2018,3202051,중앙동,32020,32,강원도,원주시,강원,원주시,Yes,0.00386176629,0.00570459759
2018,3202052,원인동,32020,32,강원도,원주시,강원,원주시,Yes,0.00399239468,0.00568614737
2018,3202053,개운동,32020,32,강원도,원주시,강원,원주시,Yes,0.00398269792,0.00568960378
2018,3202054,명륜1동,32020,32,강원도,원주시,강원,원주시,Yes,0.00402351177,0.00568421568
2018,3202055,명륜2동,32020,32,강원도,원주시,강원,원주시,Yes,0.00407870731,0.00568154213
2018,3202056,단구동,32020,32,강원도,원주시,강원,원주시,Yes,0.00400421856,0.00569947242
2018,3202057,일산동,32020,32,강원도,원주시,강원,원주시,Yes,0.00400261759,0.00568195452
2018,3202058,학성동,32020,32,강원도,원주시,강원,원주시,Yes,0.00395735786,0.00568771562
2018,3202060,단계동,32020,32,강원도,원주시,강원,원주시,Yes,0.00408531707,0.00565484688
2018,3202061,우산동,32020,32,강원도,원주시,강원,원주시,Yes,0.00373686954,0.00571417896
2018,3202062,태장1동,32020,32,강원도,원주시,강원,원주시,Yes,0.00377129694,0.00571347447
2018,3202063,태장2동,32020,32,강원도,원주시,강원,원주시,Yes,0.00363913144,0.00572498575
2018,3202064,봉산동,32020,32,강원도,원주시,강원,원주시,Yes,0.00379139617,0.00569473421
2018,3202066,행구동,32020,32,강원도,원주시,강원,원주시,Yes,0.00320147138,0.00577385867
2018,3202067,무실동,32020,32,강원도,원주시,강원,원주시,Yes,0.00418962075,0.00565769328
2018,3202068,반곡관설동,32020,32,강원도,원주시,강원,원주시,Yes,0.00375751035,0.00573125997
2018,3203011,주문진읍,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00259126896,0.00585611792
2018,3203031,성산면,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00437318723,0.00317535636
2018,3203032,왕산면,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00357654825,0.00248405161
2018,3203033,구정면,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00433408422,0.00572146181
2018,3203035,옥계면,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00420473973,0.00266886106
2018,3203036,사천면,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00401707788,0.00577165795
2018,3203037,연곡면,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00342834849,0.00298204705
2018,3203051,홍제동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00421766572,0.00575324469
2018,3203052,중앙동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00412066874,0.00578166165
2018,3203054,옥천동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.0041028494,0.00578713374
2018,3203055,교1동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00405904795,0.00579273951
2018,3203056,교2동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00393655765,0.00581972654
2018,3203057,포남1동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00402308687,0.00580501488
2018,3203058,포남2동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00376220963,0.00585288117
2018,3203059,초당동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00347889201,0.00589585545
2018,3203060,송정동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00358438987,0.00588272387
2018,3203061,내곡동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00421111115,0.0057548536
2018,3203062,강남동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.0041389626,0.00578063836
2018,3203065,성덕동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00386550582,0.00583756855
2018,3203067,경포동,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00385611593,0.00583054326
2018,3204051,천곡동,32040,32,강원도,동해시,강원,동해시,Yes,0.00327524696,0.00542490437
2018,3204052,송정동,32040,32,강원도,동해시,강원,동해시,Yes,0.00282296452,0.00546588587
2018,3204053,북삼동,32040,32,강원도,동해시,강원,동해시,Yes,0.00284727126,0.00534452762
2018,3204054,부곡동,32040,32,강원도,동해시,강원,동해시,Yes,0.00350684737,0.00554707052
2018,3204055,동호동,32040,32,강원도,동해시,강원,동해시,Yes,0.00353380606,0.00556447481
2018,3204057,발한동,32040,32,강원도,동해시,강원,동해시,Yes,0.00353766854,0.00527612174
2018,3204059,묵호동,32040,32,강원도,동해시,강원,동해시,Yes,0.00330480708,0.00570624916
2018,3204060,북평동,32040,32,강원도,동해시,강원,동해시,Yes,0.00220152693,0.00563933957
2018,3204063,망상동,32040,32,강원도,동해시,강원,동해시,Yes,0.00361025871,0.00579291164
2018,3204065,삼화동,32040,32,강원도,동해시,강원,동해시,Yes,0.00285281095,0.00226380412
2018,3205051,황지동,32050,32,강원도,태백시,강원,태백시,Yes,0.00031927291,0.00551267734
2018,3205052,황연동,32050,32,강원도,태백시,강원,태백시,Yes,0.00023745558,0.00568855454
2018,3205053,삼수동,32050,32,강원도,태백시,강원,태백시,Yes,4.970499e-05,0.00279425787
2018,3205054,상장동,32050,32,강원도,태백시,강원,태백시,Yes,0.00032137297,0.00539105633
2018,3205055,구문소동,32050,32,강원도,태백시,강원,태백시,Yes,0.00016078562,0.0057952877
2018,3205056,장성동,32050,32,강원도,태백시,강원,태백시,Yes,0.00019402603,0.00566681204
2018,3205058,철암동,32050,32,강원도,태백시,강원,태백시,Yes,0.00023171402,0.00573114663
2018,3205062,문곡소도동,32050,32,강원도,태백시,강원,태백시,Yes,0.0,0.00272080471
2018,3206051,영랑동,32060,32,강원도,속초시,강원,속초시,Yes,0.00137385994,0.00557250813
2018,3206052,동명동,32060,32,강원도,속초시,강원,속초시,Yes,0.00168307658,0.0056187909
2018,3206054,금호동,32060,32,강원도,속초시,강원,속초시,Yes,0.00158395614,0.00554147109
2018,3206056,교동,32060,32,강원도,속초시,강원,속초시,Yes,0.00155721292,0.00542896084
2018,3206057,노학동,32060,32,강원도,속초시,강원,속초시,Yes,0.00113720267,0.00487851933
2018,3206058,조양동,32060,32,강원도,속초시,강원,속초시,Yes,0.00141543777,0.00502766831
2018,3206059,청호동,32060,32,강원도,속초시,강원,속초시,Yes,0.00163092997,0.00528895425
2018,3206060,대포동,32060,32,강원도,속초시,강원,속초시,Yes,0.00082370445,0.00542572645
2018,3207011,도계읍,32070,32,강원도,삼척시,강원,삼척시,Yes,0.0,0.00267414338
2018,3207012,원덕읍,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00020294819,0.00327710877
2018,3207031,근덕면,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00044313451,0.0025741955
2018,3207032,하장면,32070,32,강원도,삼척시,강원,삼척시,Yes,5.826873e-05,0.00276009835
2018,3207033,노곡면,32070,32,강원도,삼척시,강원,삼척시,Yes,1.912944e-05,0.00347093608
2018,3207034,미로면,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00061355725,0.00363059518
2018,3207035,가곡면,32070,32,강원도,삼척시,강원,삼척시,Yes,0.0,0.00328589898
2018,3207036,신기면,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00031227785,0.00575407802
2018,3207051,남양동,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00090216588,0.00582233815
2018,3207052,성내동,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00119913878,0.00579851499
2018,3207053,교동,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00163987091,0.00586407057
2018,3207054,정라동,32070,32,강원도,삼척시,강원,삼척시,Yes,0.00114413825,0.00584860836
2018,3231011,홍천읍,32310,32,강원도,홍천군,강원,홍천군,Yes,9.281078e-05,0.00321441465
2018,3231031,화촌면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.00040634078,0.00275414112
2018,3231032,두촌면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.00060186057,0.00333297584
2018,3231033,내촌면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.0,0.0032924895
2018,3231034,서석면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.0,0.00284823674
2018,3231035,동면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.0,0.00370935523
2018,3231036,남면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.0,0.00365327224
2018,3231037,서면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.00083066313,0.00387207962
2018,3231038,북방면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.00113320323,0.00273455828
2018,3231039,내면,32310,32,강원도,홍천군,강원,홍천군,Yes,0.0,0.00190157974
2018,3232011,횡성읍,32320,32,강원도,횡성군,강원,횡성군,Yes,0.00095433555,0.00578615854
2018,3232031,우천면,32320,32,강원도,횡성군,강원,횡성군,Yes,7.772746e-05,0.00317505617
2018,3232032,안흥면,32320,32,강원도,횡성군,강원,횡성군,Yes,0.0,0.0032069563
2018,3232033,둔내면,32320,32,강원도,횡성군,강원,횡성군,Yes,0.0,0.00363809835
2018,3232034,갑천면,32320,32,강원도,횡성군,강원,횡성군,Yes,0.0,0.00352990881
2018,3232035,청일면,32320,32,강원도,횡성군,강원,횡성군,Yes,0.0,0.002871535
2018,3232036,공근면,32320,32,강원도,횡성군,강원,횡성군,Yes,0.0,0.00367385823
2018,3232037,서원면,32320,32,강원도,횡성군,강원,횡성군,Yes,0.00069322295,0.00296892341
2018,3232038,강림면,32320,32,강원도,횡성군,강원,횡성군,Yes,0.00089810389,0.00368582218
2018,3233011,영월읍,32330,32,강원도,영월군,강원,영월군,Yes,0.0,0.00310885634
2018,3233012,상동읍,32330,32,강원도,영월군,강원,영월군,Yes,0.0,0.00372052573
2018,3233031,중동면,32330,32,강원도,영월군,강원,영월군,Yes,0.0,0.00317402254
2018,3233033,북면,32330,32,강원도,영월군,강원,영월군,Yes,8.865309e-05,0.00581519077
2018,3233034,남면,32330,32,강원도,영월군,강원,영월군,Yes,7.277173e-05,0.00580142834
2018,3233036,주천면,32330,32,강원도,영월군,강원,영월군,Yes,0.00014737972,0.00351463416
2018,3233038,김삿갓면,32330,32,강원도,영월군,강원,영월군,Yes,3.96554e-06,0.00277767712
2018,3233039,한반도면,32330,32,강원도,영월군,강원,영월군,Yes,7.097787e-05,0.00361879934
2018,3233040,무릉도원면,32330,32,강원도,영월군,강원,영월군,Yes,0.00069175007,0.0035124227
2018,3234011,평창읍,32340,32,강원도,평창군,강원,평창군,Yes,0.0,0.00281366485
2018,3234031,미탄면,32340,32,강원도,평창군,강원,평창군,Yes,0.0,0.00334119184
2018,3234032,방림면,32340,32,강원도,평창군,강원,평창군,Yes,0.0,0.00331575893
2018,3234033,대화면,32340,32,강원도,평창군,강원,평창군,Yes,0.0,0.00288739727
2018,3234034,봉평면,32340,32,강원도,평창군,강원,평창군,Yes,0.0,0.00285912956
2018,3234035,용평면,32340,32,강원도,평창군,강원,평창군,Yes,0.0,0.00366007068
2018,3234036,진부면,32340,32,강원도,평창군,강원,평창군,Yes,3.049326e-05,0.00184939945
2018,3234037,대관령면,32340,32,강원도,평창군,강원,평창군,Yes,0.00104885194,0.00281538103
2018,3235011,정선읍,32350,32,강원도,정선군,강원,정선군,Yes,0.0,0.00228854708
2018,3235012,고한읍,32350,32,강원도,정선군,강원,정선군,Yes,0.00024252337,0.00585198684
2018,3235013,사북읍,32350,32,강원도,정선군,강원,정선군,Yes,4.493191e-05,0.00582442416
2018,3235014,신동읍,32350,32,강원도,정선군,강원,정선군,Yes,0.0,0.00368174474
2018,3235032,남면,32350,32,강원도,정선군,강원,정선군,Yes,0.0,0.00300195421
2018,3235034,북평면,32350,32,강원도,정선군,강원,정선군,Yes,0.0,0.00368885148
2018,3235035,임계면,32350,32,강원도,정선군,강원,정선군,Yes,0.00082759393,0.00274188298
2018,3235036,화암면,32350,32,강원도,정선군,강원,정선군,Yes,0.0,0.0031507476
2018,3235037,여량면,32350,32,강원도,정선군,강원,정선군,Yes,0.00030607795,0.00285698845
2018,3236011,철원읍,32360,32,강원도,철원군,강원,철원군,Yes,8.372787e-05,0.00295139723
2018,3236012,김화읍,32360,32,강원도,철원군,강원,철원군,Yes,8.379706e-05,0.00353942935
2018,3236013,갈말읍,32360,32,강원도,철원군,강원,철원군,Yes,0.0,0.00261678737
2018,3236014,동송읍,32360,32,강원도,철원군,강원,철원군,Yes,0.0,0.00345881529
2018,3236021,근북면,32360,32,강원도,철원군,강원,철원군,Yes,0.00094934357,0.00584263004
2018,3236026,근동면,32360,32,강원도,철원군,강원,철원군,Yes,0.00071926002,0.00584852688
2018,3236027,원동면,32360,32,강원도,철원군,강원,철원군,Yes,0.0009012044,0.00590245256
2018,3236028,원남면,32360,32,강원도,철원군,강원,철원군,Yes,0.00042449676,0.00585021696
2018,3236029,임남면,32360,32,강원도,철원군,강원,철원군,Yes,0.00042890759,0.0058788921
2018,3236031,서면,32360,32,강원도,철원군,강원,철원군,Yes,6.772935e-05,0.00575198224
2018,3236032,근남면,32360,32,강원도,철원군,강원,철원군,Yes,0.0,0.00345261939
2018,3237011,화천읍,32370,32,강원도,화천군,강원,화천군,Yes,0.0,0.00224127939
2018,3237031,간동면,32370,32,강원도,화천군,강원,화천군,Yes,0.00069465557,0.00367539196
2018,3237032,하남면,32370,32,강원도,화천군,강원,화천군,Yes,0.00060716796,0.00284747053
2018,3237033,상서면,32370,32,강원도,화천군,강원,화천군,Yes,0.0,0.00218811078
2018,3237034,사내면,32370,32,강원도,화천군,강원,화천군,Yes,0.0001011704,0.00301295454
2018,3238011,양구읍,32380,32,강원도,양구군,강원,양구군,Yes,3.738574e-05,0.00223925052
2018,3238031,남면,32380,32,강원도,양구군,강원,양구군,Yes,0.0,0.00296929621
2018,3238032,동면,32380,32,강원도,양구군,강원,양구군,Yes,1.312046e-05,0.00336804216
2018,3238033,방산면,32380,32,강원도,양구군,강원,양구군,Yes,0.0,0.0030351591
2018,3238034,해안면,32380,32,강원도,양구군,강원,양구군,Yes,0.0003706788,0.00579820028
2018,3239011,인제읍,32390,32,강원도,인제군,강원,인제군,Yes,0.0,0.00180055772
2018,3239031,남면,32390,32,강원도,인제군,강원,인제군,Yes,0.00033323094,0.0026595924
2018,3239032,북면,32390,32,강원도,인제군,강원,인제군,Yes,0.0,0.00222989955
2018,3239033,기린면,32390,32,강원도,인제군,강원,인제군,Yes,0.0,0.00262999575
2018,3239034,서화면,32390,32,강원도,인제군,강원,인제군,Yes,5.81467e-05,0.00252302326
2018,3239035,상남면,32390,32,강원도,인제군,강원,인제군,Yes,0.0,0.00278915753
2018,3240011,간성읍,32400,32,강원도,고성군,강원,고성군,Yes,0.0,0.00231832788
2018,3240012,거진읍,32400,32,강원도,고성군,강원,고성군,Yes,7.567899e-05,0.00344608267
2018,3240026,수동면,32400,32,강원도,고성군,강원,고성군,Yes,0.00016150011,0.00260012209
2018,3240031,현내면,32400,32,강원도,고성군,강원,고성군,Yes,0.00068588857,0.00576569432
2018,3240032,죽왕면,32400,32,강원도,고성군,강원,고성군,Yes,0.00067434614,0.00578758518
2018,3240033,토성면,32400,32,강원도,고성군,강원,고성군,Yes,0.00021870063,0.0035808123
2018,3241011,양양읍,32410,32,강원도,양양군,강원,양양군,Yes,0.00026859224,0.00568837684
2018,3241031,서면,32410,32,강원도,양양군,강원,양양군,Yes,0.0,0.00227308959
2018,3241032,손양면,32410,32,강원도,양양군,강원,양양군,Yes,0.00031336601,0.00567630545
2018,3241033,현북면,32410,32,강원도,양양군,강원,양양군,Yes,2.980043e-05,0.00224006941
2018,3241034,현남면,32410,32,강원도,양양군,강원,양양군,Yes,0.00080686353,0.00360117316
2018,3241035,강현면,32410,32,강원도,양양군,강원,양양군,Yes,0.00048775782,0.00570214647
2018,3203034,강동면,32030,32,강원도,강릉시,강원,강릉시,Yes,0.00450018559,0.00358226477
